citation_spec_path,anchor,test_file,test_name,verdict,justification,safety_relevant,gate19_credits_it,resolution,decisive_assertion,test_runs,scenario_marked_exclude,verdict_2026_09_11
openspec/specs/features-roadmap/spec.md,areas-summarise-before-they-expand,tests/e2e/app-chrome.spec.ts,FeaturesRoadmapView compares dossiq and states the comparison limits,verified,"Reads every area disclosure: asserts it carries no open attribute, that its first row is hidden, and that the summary digits equal the total plus dossiq's yes, partly and missing counts computed from the data file, so a wrong count or a self-opening area reddens it.",no,yes,resolves to a scenario,"expect((summary.match(/\d+/g) ?? []).map(Number), `area ${area.key} must state its capability count and how dossiq scored...`).toEqual(area.numbers)",yes,no,partial
openspec/specs/features-roadmap/spec.md,a-reader-can-date-the-claim,tests/e2e/app-chrome.spec.ts,FeaturesRoadmapView compares dossiq and states the comparison limits,partial,"The only date check is toContainText('2026') over the whole comparison, which the added-rows sentence ('the most recent of them on 10 September 2026') already satisfies, so dropping comparedOn entirely stays green and the 'in their own language' clause is asserted nowhere.",no,yes,resolves to a scenario,await expect(comparison).toContainText('2026'),yes,no,verified
openspec/specs/features-roadmap/spec.md,the-panel-advises-the-reader-to-test-for-themselves,tests/e2e/app-chrome.spec.ts,FeaturesRoadmapView compares dossiq and states the comparison limits,verified,"Asserts the panel's own advice sentence verbatim, so removing the recommendation reddens it; the second clause, that the table does not replace testing against your own requirements, rides in the same t() string and is not asserted separately.",no,yes,resolves to a scenario,await expect(comparison).toContainText('run your own evaluation'),yes,no,verified
openspec/specs/features-roadmap/spec.md,the-panel-accounts-for-rows-a-later-round-added,tests/e2e/app-chrome.spec.ts,FeaturesRoadmapView compares dossiq and states the comparison limits,verified,"All three THENs are asserted against the data file rather than against prose: the added-row count, the Intl-formatted most recent addition date, the rival column count, and every added row's chips read off the DOM and required to be unknown.",no,yes,resolves to a scenario,"expect(guessed, 'an added row must read Unknown for every competitor, never a guess').toEqual([])",yes,no,partial
openspec/specs/case-management/spec.md,a-handler-copies-a-case,tests/e2e/case-actions-menu.spec.ts,a handler copies a case and lands on the copy,verified,"asserts the written copy's caseType, confidentiality, priority and intakeChannel against the source, that its status is the type's initial status, that its identifier differs and that the source sits under relatedCases, so any clause of the copy rule breaking reddens it",no,yes,resolves to a scenario,expect(copy.status).toBe(statusReceived),yes,no,verified
openspec/specs/case-management/spec.md,documents-come-along-as-links,tests/e2e/case-actions-menu.spec.ts,"documents come along as links, and the file exists once",verified,"counts caseDocument rows per case and requires exactly one link on the source and one on the copy, which catches both a copy that drops the document and one that duplicates the file, though it never opens the Documents tab the scenario names",no,yes,resolves to a scenario,"expect((await linksOn(copyId)).length, 'the copy has the document, linked once').toBe(1)",yes,no,verified
openspec/specs/workflow-definition-engine/spec.md,the-start-list-follows-the-case-type,tests/e2e/case-actions-menu.spec.ts,"Start lists the flows the case type allows, and nothing else",verified,"asserts the Start dialog's list contains the startable flow's title and holds exactly one row, so a list leaking flows the type does not name reddens; note the whole test sits behind a conditional test.skip when the instance has no flow to mark startable",no,yes,resolves to a scenario,await expect(list.locator('li')).toHaveCount(1),yes,no,verified
openspec/specs/workflow-definition-engine/spec.md,a-type-without-startable-flows-hides-start,tests/e2e/case-actions-menu.spec.ts,a case type that allows none does not offer Start,verified,"opens the Actions menu first and asserts Start is absent while Copy case is visible, so a shut menu cannot pass it by making both entries missing",no,yes,resolves to a scenario,await expect(page.getByTestId('cn-action-start-flow')).toHaveCount(0),yes,no,verified
openspec/specs/workflow-definition-engine/spec.md,a-planned-case-shows-on-the-tab,tests/e2e/case-actions-menu.spec.ts,"a planned follow-up shows on the Related cases tab, and no case exists yet",verified,"asserts the related-cases section of the open Related panel carries the planned title and its due date, and that no case of that title exists yet, which is both halves of the scenario",no,yes,resolves to a scenario,"await expect(panel).toContainText(due, { timeout: 30_000 })",yes,no,verified
openspec/specs/kcc-werkplek-zaaksysteem-bridge/spec.md,the-tab-lists-the-cases-contacts,tests/e2e/case-communication.spec.ts,the tab lists this case contacts and not another case one,verified,"Asserts exactly two rows on the open case with their channel, direction, summary and year, and asserts the other case's contact is absent, so a broken case filter reddens it.",no,yes,resolves to a scenario,await expect(widget.getByText(OTHER_SUMMARY)).toHaveCount(0),yes,no,not measured
