citation_spec_path,anchor,short_ref,test_file,test_name,decl,directive,runs,file_runs,resolution,gate19_credits_it,gate_ref,scenario_excluded,line
openspec/specs/features-roadmap/spec.md,areas-summarise-before-they-expand,,tests/e2e/app-chrome.spec.ts,FeaturesRoadmapView compares dossiq and states the comparison limits,test,directive,yes,yes,resolves to a scenario,yes,features-roadmap::areas-summarise-before-they-expand,no,228
openspec/specs/features-roadmap/spec.md,a-reader-can-date-the-claim,,tests/e2e/app-chrome.spec.ts,FeaturesRoadmapView compares dossiq and states the comparison limits,test,directive,yes,yes,resolves to a scenario,yes,features-roadmap::a-reader-can-date-the-claim,no,229
openspec/specs/features-roadmap/spec.md,the-panel-advises-the-reader-to-test-for-themselves,,tests/e2e/app-chrome.spec.ts,FeaturesRoadmapView compares dossiq and states the comparison limits,test,directive,yes,yes,resolves to a scenario,yes,features-roadmap::the-panel-advises-the-reader-to-test-for-themselves,no,230
openspec/specs/features-roadmap/spec.md,the-panel-accounts-for-rows-a-later-round-added,,tests/e2e/app-chrome.spec.ts,FeaturesRoadmapView compares dossiq and states the comparison limits,test,directive,yes,yes,resolves to a scenario,yes,features-roadmap::the-panel-accounts-for-rows-a-later-round-added,no,231
openspec/specs/case-management/spec.md,a-handler-copies-a-case,,tests/e2e/case-actions-menu.spec.ts,a handler copies a case and lands on the copy,test,directive,yes,yes,resolves to a scenario,yes,case-management::a-handler-copies-a-case,no,193
openspec/specs/case-management/spec.md,documents-come-along-as-links,,tests/e2e/case-actions-menu.spec.ts,"documents come along as links, and the file exists once",test,directive,yes,yes,resolves to a scenario,yes,case-management::documents-come-along-as-links,no,256
openspec/specs/workflow-definition-engine/spec.md,the-start-list-follows-the-case-type,,tests/e2e/case-actions-menu.spec.ts,"Start lists the flows the case type allows, and nothing else",test,directive,yes,yes,resolves to a scenario,yes,workflow-definition-engine::the-start-list-follows-the-case-type,no,305
openspec/specs/workflow-definition-engine/spec.md,a-type-without-startable-flows-hides-start,,tests/e2e/case-actions-menu.spec.ts,a case type that allows none does not offer Start,test,directive,yes,yes,resolves to a scenario,yes,workflow-definition-engine::a-type-without-startable-flows-hides-start,no,327
openspec/specs/workflow-definition-engine/spec.md,a-planned-case-shows-on-the-tab,,tests/e2e/case-actions-menu.spec.ts,"a planned follow-up shows on the Related cases tab, and no case exists yet",test,directive,yes,yes,resolves to a scenario,yes,workflow-definition-engine::a-planned-case-shows-on-the-tab,no,344
openspec/specs/kcc-werkplek-zaaksysteem-bridge/spec.md,the-tab-lists-the-cases-contacts,,tests/e2e/case-communication.spec.ts,the tab lists this case contacts and not another case one,test,directive,yes,yes,resolves to a scenario,yes,kcc-werkplek-zaaksysteem-bridge::the-tab-lists-the-cases-contacts,no,202
openspec/specs/kcc-werkplek-zaaksysteem-bridge/spec.md,newest-first,,tests/e2e/case-communication.spec.ts,the newest contact is the first row,test,directive,yes,yes,resolves to a scenario,yes,kcc-werkplek-zaaksysteem-bridge::newest-first,no,232
openspec/specs/kcc-werkplek-zaaksysteem-bridge/spec.md,an-empty-case-still-shows-the-list,,tests/e2e/case-communication.spec.ts,a case without contacts shows the tab and its empty state,test,directive,yes,yes,resolves to a scenario,yes,kcc-werkplek-zaaksysteem-bridge::an-empty-case-still-shows-the-list,no,246
openspec/specs/kcc-werkplek-zaaksysteem-bridge/spec.md,the-form-does-not-ask-for-the-kcc-fields,,tests/e2e/case-communication.spec.ts,the Log contact form asks for five fields and none of the KCC ones,test,directive,yes,yes,resolves to a scenario,yes,kcc-werkplek-zaaksysteem-bridge::the-form-does-not-ask-for-the-kcc-fields,no,275
openspec/specs/kcc-werkplek-zaaksysteem-bridge/spec.md,the-form-never-asks-which-case,,tests/e2e/case-communication.spec.ts,the Log contact form asks for five fields and none of the KCC ones,test,directive,yes,yes,resolves to a scenario,yes,kcc-werkplek-zaaksysteem-bridge::the-form-never-asks-which-case,no,276
openspec/specs/kcc-werkplek-zaaksysteem-bridge/spec.md,a-contact-logged-on-the-case-carries-the-case,,tests/e2e/case-communication.spec.ts,a logged call carries the case and shows up in the tab,test,directive,yes,yes,resolves to a scenario,yes,kcc-werkplek-zaaksysteem-bridge::a-contact-logged-on-the-case-carries-the-case,no,309
openspec/specs/kcc-werkplek-zaaksysteem-bridge/spec.md,a-logged-call-shows-up-in-the-list,,tests/e2e/case-communication.spec.ts,a logged call carries the case and shows up in the tab,test,directive,yes,yes,resolves to a scenario,yes,kcc-werkplek-zaaksysteem-bridge::a-logged-call-shows-up-in-the-list,no,310
openspec/specs/friendly-case-create-form/spec.md,the-dialog-carries-no-schema-inspection-tabs,,tests/e2e/case-create-form.spec.ts,"opens the plain form, not the properties and JSON table",test,directive,yes,yes,resolves to a scenario,yes,friendly-case-create-form::the-dialog-carries-no-schema-inspection-tabs,no,232
openspec/specs/friendly-case-create-form/spec.md,the-dialog-asks-only-for-create-time-fields,,tests/e2e/case-create-form.spec.ts,asks only for the fields a handler fills,test,directive,yes,yes,resolves to a scenario,yes,friendly-case-create-form::the-dialog-asks-only-for-create-time-fields,no,245
openspec/specs/friendly-case-create-form/spec.md,choosing-a-case-type-adds-its-questions,,tests/e2e/case-create-form.spec.ts,"adds the chosen case type own questions, and drops them again on a change",test,directive,yes,yes,resolves to a scenario,yes,friendly-case-create-form::choosing-a-case-type-adds-its-questions,no,270
openspec/specs/friendly-case-create-form/spec.md,requirement-req-fcf-003-a-case-type-brings-its-own-questions,,tests/e2e/case-create-form.spec.ts,files a case with its case type answers,test,directive,yes,yes,the anchor matches no scenario in that spec,no,friendly-case-create-form::requirement-req-fcf-003-a-case-type-brings-its-own-questions,no,285
