citation_spec_path,anchor,test_file,test_name,verdict,justification,safety_relevant,gate19_credits_it,resolution,decisive_assertion
openspec/changes/page-topology-cleanup/specs/analytics-dashboard-surface/spec.md,,tests/e2e/app-chrome.spec.ts,the deadline-monitoring report loads its KPIs from the dossiq route,partial,"Cited spec is page topology only (dashboard type, one h2, no nesting); the test asserts the KPI request's app id and status, which no requirement there states.",no,no,no anchor: cites a whole spec file,"expect(r.url, 'the request must address the dossiq app id').toContain('/apps/dossiq/')"
openspec/specs/features-roadmap/spec.md,areas-summarise-before-they-expand,tests/e2e/app-chrome.spec.ts,FeaturesRoadmapView compares dossiq and states the comparison limits,partial,"Counts 17 area rows but never reads the per-area capability count or dossiq score, and never asserts the rows stay collapsed until opened.",no,yes,resolves to a scenario,await expect(comparison.locator('.features-roadmap__area')).toHaveCount(17)
openspec/specs/features-roadmap/spec.md,a-reader-can-date-the-claim,tests/e2e/app-chrome.spec.ts,FeaturesRoadmapView compares dossiq and states the comparison limits,verified,"Asserts the reading year inside the comparison panel, so a panel that drops the date reddens; the 'in their own language' half is unchecked.",no,yes,resolves to a scenario,await expect(comparison).toContainText('2026')
openspec/specs/features-roadmap/spec.md,the-panel-advises-the-reader-to-test-for-themselves,tests/e2e/app-chrome.spec.ts,FeaturesRoadmapView compares dossiq and states the comparison limits,verified,Asserts both THEN clauses: the recommendation to run your own evaluation and that the table 'is not proof'.,no,yes,resolves to a scenario,await expect(comparison).toContainText('run your own evaluation')
openspec/specs/features-roadmap/spec.md,the-panel-accounts-for-rows-a-later-round-added,tests/e2e/app-chrome.spec.ts,FeaturesRoadmapView compares dossiq and states the comparison limits,partial,"Asserts the caveat sentence exists but never how many rows were added, when, nor that competitor cells on those rows read Unknown.",no,yes,resolves to a scenario,await expect(comparison).toContainText('capabilities to the list')
openspec/specs/case-management/spec.md,a-handler-copies-a-case,tests/e2e/case-actions-menu.spec.ts,a handler copies a case and lands on the copy,verified,"Reads the copy back from the API and asserts same type, the type's initial status, a different identifier and the source under relatedCases.",no,yes,resolves to a scenario,expect(copy.status).toBe(statusReceived)
openspec/specs/case-management/spec.md,documents-come-along-as-links,tests/e2e/case-actions-menu.spec.ts,"documents come along as links, and the file exists once",verified,"Counts document links per case: exactly one on the source and one on the copy, so a duplicated file in storage reddens.",yes,yes,resolves to a scenario,"expect((await linksOn(copyId)).length, 'the copy has the document, linked once').toBe(1)"
openspec/specs/workflow-definition-engine/spec.md,the-start-list-follows-the-case-type,tests/e2e/case-actions-menu.spec.ts,"Start lists the flows the case type allows, and nothing else",verified,"Asserts the Start list contains the declared flow and has exactly one row, so a flow the type does not list reddens.",yes,yes,resolves to a scenario,await expect(list.locator('li')).toHaveCount(1)
openspec/specs/workflow-definition-engine/spec.md,a-type-without-startable-flows-hides-start,tests/e2e/case-actions-menu.spec.ts,a case type that allows none does not offer Start,verified,"With the menu proven open by Copy case being visible, asserts Start is absent for a type whose startableFlows is empty.",yes,yes,resolves to a scenario,await expect(page.getByTestId('cn-action-start-flow')).toHaveCount(0)
openspec/specs/workflow-definition-engine/spec.md,a-planned-case-shows-on-the-tab,tests/e2e/case-actions-menu.spec.ts,"a planned follow-up shows on the Related cases tab, and no case exists yet",verified,Asserts the planned row with its type and date on the Related tab and that no case of that type has been created.,yes,yes,resolves to a scenario,"expect(existing.length, 'the planned case does not exist yet').toBe(0)"
